"Project name","dynamic form builder"
"Date range","06/18/2026 12:00 AM - 06/20/2026 11:59 PM"


"Total sessions","46"

"Date","Time","Session duration","Entry URL","Exit URL","Referrer:","Clarity user ID","Browser","Device","OS","Country","Page count","Session clicks","Favorite","Recording link"
"06/18/2026","08:17 AM","00:01","https://dynamicformbuilder.com/","https://dynamicformbuilder.com/","","rix8f0","Chrome","PC","Windows","China","1","0","FALSE","https://clarity.microsoft.com/player/wh31dk21nj/rix8f0/gjlwbz/?ss=1781749930000&sd=1"
"06/18/2026","02:54 AM","00:01","https://dynamicformbuilder.com/","https://dynamicformbuilder.com/","","sq9gz6","Chrome","PC","Windows","China","1","0","FALSE","https://clarity.microsoft.com/player/wh31dk21nj/sq9gz6/1h72afk/?ss=1781730595000&sd=1"
"06/19/2026","06:28 AM","00:01","https://dynamicformbuilder.com/","https://dynamicformbuilder.com/","","1p5fpun","Chrome","PC","Windows","China","1","0","FALSE","https://clarity.microsoft.com/player/wh31dk21nj/1p5fpun/bmpxdd/?ss=1781829797000&sd=1"
"06/18/2026","12:45 AM","00:01","https://dynamicformbuilder.com/","https://dynamicformbuilder.com/","","1pgn7s","Chrome","PC","Windows","China","1","0","FALSE","https://clarity.microsoft.com/player/wh31dk21nj/1pgn7s/ijom8m/?ss=1781722816000&sd=1"
"06/19/2026","02:09 PM","00:01","https://dynamicformbuilder.com/","https://dynamicformbuilder.com/","","1ktbh9m","Chrome","PC","Windows","China","1","0","FALSE","https://clarity.microsoft.com/player/wh31dk21nj/1ktbh9m/nnbcpc/?ss=1781857459000&sd=1"
"06/19/2026","07:00 AM","00:01","https://dynamicformbuilder.com/","https://dynamicformbuilder.com/","","1xel1a1","Chrome","PC","Windows","China","1","0","FALSE","https://clarity.microsoft.com/player/wh31dk21nj/1xel1a1/1jgygyu/?ss=1781831752000&sd=1"
"06/18/2026","07:04 PM","00:01","https://dynamicformbuilder.com/","https://dynamicformbuilder.com/","","hr6g1c","Chrome","PC","Windows","China","1","0","FALSE","https://clarity.microsoft.com/player/wh31dk21nj/hr6g1c/15yyqsd/?ss=1781788761000&sd=1"
"06/18/2026","08:26 PM","00:01","https://dynamicformbuilder.com/","https://dynamicformbuilder.com/","","1cy80m4","Chrome","PC","Windows","China","1","0","FALSE","https://clarity.microsoft.com/player/wh31dk21nj/1cy80m4/1umfomj/?ss=1781793697000&sd=1"
"06/18/2026","09:31 AM","00:01","https://dynamicformbuilder.com/","https://dynamicformbuilder.com/","","1vgzjne","Chrome","PC","Windows","China","1","0","FALSE","https://clarity.microsoft.com/player/wh31dk21nj/1vgzjne/qoypmd/?ss=1781754387000&sd=1"
"06/19/2026","03:01 AM","00:01","https://dynamicformbuilder.com/","https://dynamicformbuilder.com/","","pfvnrd","Chrome","PC","Windows","China","1","0","FALSE","https://clarity.microsoft.com/player/wh31dk21nj/pfvnrd/121tqzp/?ss=1781817391000&sd=1"
"06/19/2026","08:41 PM","00:01","https://dynamicformbuilder.com/","https://dynamicformbuilder.com/","","1n9rw54","Chrome","PC","Windows","China","1","0","FALSE","https://clarity.microsoft.com/player/wh31dk21nj/1n9rw54/3kfqwm/?ss=1781881019000&sd=1"
"06/20/2026","03:58 AM","00:01","https://dynamicformbuilder.com/","https://dynamicformbuilder.com/","","dxvxo7","Chrome","PC","Windows","China","1","0","FALSE","https://clarity.microsoft.com/player/wh31dk21nj/dxvxo7/fvri7l/?ss=1781907239000&sd=1"
"06/19/2026","11:59 PM","00:01","https://dynamicformbuilder.com/","https://dynamicformbuilder.com/","","rsdxag","Chrome","PC","Windows","China","1","0","FALSE","https://clarity.microsoft.com/player/wh31dk21nj/rsdxag/1rlicov/?ss=1781892863000&sd=1"
"06/20/2026","09:13 AM","00:01","https://dynamicformbuilder.com/","https://dynamicformbuilder.com/","","1yhp2us","Chrome","PC","Windows","China","1","0","FALSE","https://clarity.microsoft.com/player/wh31dk21nj/1yhp2us/5my9u2/?ss=1781926123000&sd=1"
"06/18/2026","03:42 AM","00:01","https://dynamicformbuilder.com/","https://dynamicformbuilder.com/","","1c45zx8","Chrome","PC","Windows","China","1","0","FALSE","https://clarity.microsoft.com/player/wh31dk21nj/1c45zx8/14yefte/?ss=1781733443000&sd=1"
"06/19/2026","05:19 PM","00:01","https://dynamicformbuilder.com/","https://dynamicformbuilder.com/","","k00gfj","Chrome","PC","Windows","China","1","0","FALSE","https://clarity.microsoft.com/player/wh31dk21nj/k00gfj/1c0njxa/?ss=1781868858000&sd=1"
"06/20/2026","10:22 AM","00:01","https://dynamicformbuilder.com/","https://dynamicformbuilder.com/","","18iascg","Chrome","PC","Windows","China","1","0","FALSE","https://clarity.microsoft.com/player/wh31dk21nj/18iascg/kw3g4b/?ss=1781930264000&sd=1"
"06/19/2026","09:13 PM","00:01","https://dynamicformbuilder.com/","https://dynamicformbuilder.com/","","xhwgsp","Chrome","PC","Windows","China","1","0","FALSE","https://clarity.microsoft.com/player/wh31dk21nj/xhwgsp/mn82jj/?ss=1781882884000&sd=1"
"06/20/2026","04:53 AM","00:01","https://dynamicformbuilder.com/","https://dynamicformbuilder.com/","","1i8nyen","Chrome","PC","Windows","China","1","0","FALSE","https://clarity.microsoft.com/player/wh31dk21nj/1i8nyen/z6vfdg/?ss=1781910494000&sd=1"
"06/18/2026","10:53 PM","00:01","https://dynamicformbuilder.com/","https://dynamicformbuilder.com/","","1x60yro","Chrome","PC","Windows","China","1","0","FALSE","https://clarity.microsoft.com/player/wh31dk21nj/1x60yro/15tsegy/?ss=1781802484000&sd=1"
"06/18/2026","04:42 AM","00:01","https://dynamicformbuilder.com/","https://dynamicformbuilder.com/","","1iobfi","Chrome","PC","Windows","China","1","0","FALSE","https://clarity.microsoft.com/player/wh31dk21nj/1iobfi/1fbqeb6/?ss=1781737062000&sd=1"
"06/20/2026","02:40 AM","00:01","https://dynamicformbuilder.com/","https://dynamicformbuilder.com/","","1ssjv9z","Chrome","PC","Windows","China","1","0","FALSE","https://clarity.microsoft.com/player/wh31dk21nj/1ssjv9z/1m9lruz/?ss=1781902510000&sd=1"
"06/18/2026","07:43 PM","00:01","https://dynamicformbuilder.com/","https://dynamicformbuilder.com/","","1m0sunj","Chrome","PC","Windows","China","1","0","FALSE","https://clarity.microsoft.com/player/wh31dk21nj/1m0sunj/hdrwe5/?ss=1781791106000&sd=1"
"06/20/2026","01:34 PM","00:01","https://dynamicformbuilder.com/","https://dynamicformbuilder.com/","","5zjm9p","Chrome","PC","Windows","China","1","0","FALSE","https://clarity.microsoft.com/player/wh31dk21nj/5zjm9p/bil993/?ss=1781941776000&sd=1"
